,date,time,ticket_number,article,Quantity,unit_price,retour
52106,2021*04*01,11:54,164197.0,BANETTE,1.0,"1,05 €",False
52109,2021*04*01,11:55,164198.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
52112,2021*04*01,11:56,164199.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52115,2021*04*01,11:57,164200.0,BANETTE,1.0,"1,05 €",False
52116,2021*04*01,11:57,164200.0,DEMI BAGUETTE,1.0,"0,45 €",False
52119,2021*04*01,11:59,164201.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52122,2021*04*01,12:00,164202.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
52125,2021*04*01,12:01,164203.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52128,2021*04*01,12:01,164204.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52131,2021*04*01,12:02,164205.0,MOISSON,1.0,"2,00 €",False
52134,2021*04*01,12:03,164206.0,FORMULE SANDWICH,1.0,"6,50 €",False
52137,2021*04*01,12:04,164207.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52140,2021*04*01,12:06,164208.0,BAGUETTE,1.0,"0,90 €",False
52143,2021*04*01,12:09,164209.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52146,2021*04*01,12:11,164210.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52147,2021*04*01,12:11,164210.0,TROPEZIENNE,1.0,"2,00 €",False
52150,2021*04*01,12:12,164211.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52153,2021*04*01,12:16,164212.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52154,2021*04*01,12:16,164212.0,TARTELETTE,2.0,"2,00 €",False
52157,2021*04*01,12:17,164213.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52160,2021*04*01,12:21,164214.0,FORMULE SANDWICH,1.0,"6,50 €",False
52163,2021*04*01,12:22,164215.0,BANETTE,1.0,"1,05 €",False
52164,2021*04*01,12:22,164215.0,FINANCIER X5,1.0,"3,00 €",False
52167,2021*04*01,12:25,164216.0,SANDWICH COMPLET,3.0,"4,50 €",False
52170,2021*04*01,12:33,164217.0,FLAN,2.0,"2,00 €",False
52171,2021*04*01,12:33,164217.0,PAIN BANETTE,1.0,"1,40 €",False
52172,2021*04*01,12:33,164217.0,TARTELETTE,1.0,"2,00 €",False
52175,2021*04*01,12:34,164218.0,COOKIE,1.0,"1,00 €",False
52176,2021*04*01,12:34,164218.0,FORMULE SANDWICH,2.0,"6,50 €",False
52179,2021*04*01,12:35,164219.0,FORMULE SANDWICH,1.0,"6,50 €",False
52182,2021*04*01,12:36,164220.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52185,2021*04*01,12:37,164221.0,BANETTINE,1.0,"0,60 €",False
52186,2021*04*01,12:37,164221.0,SPECIAL BREAD,1.0,"2,40 €",False
52187,2021*04*01,12:37,164221.0,COUPE,1.0,"0,15 €",False
52190,2021*04*01,12:42,164222.0,COUPE,1.0,"0,15 €",False
52191,2021*04*01,12:42,164222.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52192,2021*04*01,12:42,164222.0,BANETTE,1.0,"1,05 €",False
52193,2021*04*01,12:42,164222.0,PAIN BANETTE,1.0,"1,40 €",False
52194,2021*04*01,12:42,164222.0,MOISSON,1.0,"2,00 €",False
52197,2021*04*01,12:44,164223.0,FICELLE,1.0,"0,60 €",False
52198,2021*04*01,12:44,164223.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52201,2021*04*01,12:45,164224.0,FORMULE SANDWICH,1.0,"6,50 €",False
52204,2021*04*01,12:47,164225.0,FORMULE SANDWICH,1.0,"6,50 €",False
52207,2021*04*01,12:48,164226.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52210,2021*04*01,12:48,164227.0,BAGUETTE,1.0,"0,90 €",False
52213,2021*04*01,12:52,164228.0,SANDWICH COMPLET,1.0,"4,50 €",False
52216,2021*04*01,12:58,164229.0,BANETTE,2.0,"1,05 €",False
52219,2021*04*01,13:02,164230.0,GRAND FAR BRETON,1.0,"7,00 €",False
52220,2021*04*01,13:02,164230.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52221,2021*04*01,13:02,164230.0,FORMULE SANDWICH,2.0,"6,50 €",False
52224,2021*04*01,13:06,164231.0,CAFE OU EAU,2.0,"1,00 €",False
52225,2021*04*01,13:06,164231.0,SANDWICH COMPLET,1.0,"4,50 €",False
52228,2021*04*01,13:07,164232.0,BOISSON 33CL,1.0,"1,50 €",False
52229,2021*04*01,13:07,164232.0,SANDWICH COMPLET,1.0,"4,50 €",False
52232,2021*04*01,13:07,164233.0,PAIN,1.0,"1,15 €",False
52235,2021*04*01,16:17,164234.0,SPECIAL BREAD,1.0,"2,40 €",False
52236,2021*04*01,16:17,164234.0,SUCETTE,3.0,"0,30 €",False
52237,2021*04*01,16:17,164234.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
52240,2021*04*01,16:19,164235.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
52243,2021*04*01,16:19,164236.0,FLAN ABRICOT,1.0,"2,10 €",False
52244,2021*04*01,16:19,164236.0,TARTELETTE,1.0,"2,00 €",False
52247,2021*04*01,16:24,164237.0,FONDANT CHOCOLAT,1.0,"2,50 €",False
52248,2021*04*01,16:24,164237.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52249,2021*04*01,16:24,164237.0,NANTAIS,1.0,"2,50 €",False
52252,2021*04*01,16:25,164238.0,BOULE 200G,1.0,"1,10 €",False
52255,2021*04*01,16:31,164239.0,CROISSANT AMANDES,1.0,"1,40 €",False
52256,2021*04*01,16:31,164239.0,BAGUETTE,1.0,"0,90 €",False
52257,2021*04*01,16:31,164239.0,MOISSON,1.0,"2,00 €",False
52258,2021*04*01,16:31,164239.0,COUPE,1.0,"0,15 €",False
52261,2021*04*01,16:37,164240.0,CROISSANT,6.0,"1,10 €",False
52264,2021*04*01,16:41,164241.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52267,2021*04*01,16:53,164242.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52270,2021*04*01,16:57,164243.0,FINANCIER X5,1.0,"3,00 €",False
52271,2021*04*01,16:57,164243.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52274,2021*04*01,17:05,164244.0,FICELLE,1.0,"0,60 €",False
52277,2021*04*01,17:27,164245.0,BANETTE,1.0,"1,05 €",False
52280,2021*04*01,17:28,164246.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52281,2021*04*01,17:28,164246.0,PAIN CHOCO AMANDES,1.0,"1,50 €",False
52284,2021*04*01,17:28,164247.0,BANETTE,1.0,"1,05 €",False
52285,2021*04*01,17:28,164247.0,CEREAL BAGUETTE,1.0,"1,25 €",False
52288,2021*04*01,17:34,164248.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52291,2021*04*01,17:43,164249.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52294,2021*04*01,17:46,164250.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52295,2021*04*01,17:46,164250.0,KOUIGN AMANN,2.0,"2,10 €",False
52296,2021*04*01,17:46,164250.0,SPECIAL BREAD,1.0,"2,40 €",False
52299,2021*04*01,17:50,164251.0,DIVERS VIENNOISERIE,1.0,"6,00 €",False
52302,2021*04*01,17:56,164252.0,BAGUETTE,1.0,"0,90 €",False
52305,2021*04*01,17:59,164253.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52308,2021*04*01,17:59,164254.0,BOULE 400G,1.0,"1,50 €",False
52309,2021*04*01,17:59,164254.0,COUPE,1.0,"0,15 €",False
52312,2021*04*01,18:07,164255.0,BRIOCHE,1.0,"5,00 €",False
52313,2021*04*01,18:07,164255.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52316,2021*04*01,18:14,164256.0,CHAUSSON AUX POMMES,1.0,"1,40 €",False
52319,2021*04*01,18:28,164257.0,DEMI BAGUETTE,1.0,"0,45 €",False
52320,2021*04*01,18:28,164257.0,COMPLET,3.0,"1,50 €",False
52321,2021*04*01,18:28,164257.0,COUPE,3.0,"0,15 €",False
52324,2021*04*01,18:28,164258.0,BAGUETTE,1.0,"0,90 €",False
52327,2021*04*01,18:28,164259.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52330,2021*04*01,18:32,164260.0,BAGUETTE,1.0,"0,90 €",False
52333,2021*04*01,18:33,164261.0,BANETTE,1.0,"1,05 €",False
52336,2021*04*01,18:37,164262.0,SPECIAL BREAD,1.0,"2,40 €",False
52337,2021*04*01,18:37,164262.0,COUPE,1.0,"0,15 €",False
52338,2021*04*01,18:37,164262.0,TARTELETTE,2.0,"2,00 €",False
52341,2021*04*01,18:48,164263.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52344,2021*04*02,07:38,164264.0,FORMULE SANDWICH,2.0,"6,50 €",False
52347,2021*04*02,07:50,164265.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
52348,2021*04*02,07:50,164265.0,BAGUETTE,1.0,"0,90 €",False
52351,2021*04*02,07:51,164266.0,COOKIE,1.0,"1,00 €",False
52352,2021*04*02,07:51,164266.0,PAIN CHOCO AMANDES,2.0,"1,50 €",False
52355,2021*04*02,07:56,164267.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52358,2021*04*02,07:57,164268.0,CROISSANT,2.0,"1,10 €",False
52361,2021*04*02,07:59,164269.0,COOKIE,1.0,"1,00 €",False
52362,2021*04*02,07:59,164269.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
52363,2021*04*02,07:59,164269.0,CHAUSSON AUX POMMES,1.0,"1,40 €",False
52364,2021*04*02,07:59,164269.0,CROISSANT,1.0,"1,10 €",False
52367,2021*04*02,08:05,164270.0,BAGUETTE,1.0,"0,90 €",False
52368,2021*04*02,08:05,164270.0,DEMI BAGUETTE,1.0,"0,45 €",False
52371,2021*04*02,08:07,164271.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
52374,2021*04*02,08:08,164272.0,CROISSANT,2.0,"1,10 €",False
52375,2021*04*02,08:08,164272.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52376,2021*04*02,08:08,164272.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
52379,2021*04*02,08:11,164273.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
52380,2021*04*02,08:11,164273.0,CROISSANT,3.0,"1,10 €",False
52383,2021*04*02,08:12,164274.0,FICELLE,1.0,"0,60 €",False
52384,2021*04*02,08:12,164274.0,CROISSANT,2.0,"1,10 €",False
52387,2021*04*02,08:15,164275.0,CEREAL BAGUETTE,1.0,"1,25 €",False
52390,2021*04*02,08:23,164276.0,PAIN AUX RAISINS,1.0,"1,40 €",False
52391,2021*04*02,08:23,164276.0,BAGUETTE,1.0,"0,90 €",False
52392,2021*04*02,08:23,164276.0,CROISSANT,1.0,"1,10 €",False
52395,2021*04*02,08:23,164277.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52396,2021*04*02,08:23,164277.0,BAGUETTE,2.0,"0,90 €",False
52399,2021*04*02,08:29,164278.0,BAGUETTE APERO,1.0,"4,50 €",False
52402,2021*04*02,08:29,164279.0,FORMULE SANDWICH,1.0,"6,50 €",False
52405,2021*04*02,08:29,164280.0,SANDWICH COMPLET,1.0,"4,50 €",False
52408,2021*04*02,08:30,164281.0,TRADITIONAL BAGUETTE,1.0,"1,20 €","('partial', 164282.0)"
52411,2021*04*02,08:31,164282.0,FORMULE SANDWICH,-1.0,"6,50 €",False
52414,2021*04*02,08:33,164283.0,SPECIAL BREAD,1.0,"2,40 €",False
52415,2021*04*02,08:33,164283.0,COUPE,1.0,"0,15 €",False
52418,2021*04*02,08:34,164284.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52419,2021*04*02,08:34,164284.0,CHAUSSON AUX POMMES,1.0,"1,40 €",False
52420,2021*04*02,08:34,164284.0,PAIN AUX RAISINS,1.0,"1,40 €",False
52423,2021*04*02,08:35,164285.0,FORMULE SANDWICH,1.0,"6,50 €",False
52424,2021*04*02,08:35,164285.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
52427,2021*04*02,08:37,164286.0,BAGUETTE,1.0,"0,90 €",False
52430,2021*04*02,08:37,164287.0,BAGUETTE,1.0,"0,90 €",False
52433,2021*04*02,08:38,164288.0,BANETTE,2.0,"1,05 €",False
52436,2021*04*02,08:39,164289.0,BAGUETTE,2.0,"0,90 €",False
52439,2021*04*02,08:39,164290.0,BOISSON 33CL,1.0,"1,50 €",False
52440,2021*04*02,08:39,164290.0,PAIN AUX RAISINS,1.0,"1,40 €",False
52443,2021*04*02,08:40,164291.0,BRIOCHE,1.0,"5,00 €",False
52446,2021*04*02,08:43,164292.0,BOULE 400G,1.0,"1,50 €",False
52447,2021*04*02,08:43,164292.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52448,2021*04*02,08:43,164292.0,COUPE,1.0,"0,15 €",False
52451,2021*04*02,08:48,164293.0,PAIN AU CHOCOLAT,1.0,"1,20 €",False
52452,2021*04*02,08:48,164293.0,CROISSANT,1.0,"1,10 €",False
52455,2021*04*02,08:52,164294.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52458,2021*04*02,08:53,164295.0,BOISSON 33CL,1.0,"1,50 €",False
52461,2021*04*02,08:53,164296.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52464,2021*04*02,08:55,164297.0,PAIN,1.0,"1,15 €",False
52465,2021*04*02,08:55,164297.0,PAIN AU CHOCOLAT,5.0,"1,20 €",False
52468,2021*04*02,08:56,164298.0,BANETTE,2.0,"1,05 €",False
52471,2021*04*02,08:57,164299.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52474,2021*04*02,09:00,164300.0,BOULE 400G,1.0,"1,50 €",False
52475,2021*04*02,09:00,164300.0,COUPE,1.0,"0,15 €",False
52476,2021*04*02,09:00,164300.0,BANETTINE,1.0,"0,60 €",False
52479,2021*04*02,09:01,164301.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52480,2021*04*02,09:01,164301.0,BANETTINE,1.0,"0,60 €",False
52483,2021*04*02,09:02,164302.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52486,2021*04*02,09:03,164303.0,BANETTE,1.0,"1,05 €",False
52489,2021*04*02,09:05,164304.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52492,2021*04*02,09:14,164305.0,PAIN BANETTE,2.0,"1,40 €",False
52495,2021*04*02,09:20,164306.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52498,2021*04*02,09:20,164307.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52501,2021*04*02,09:21,164308.0,BANETTE,1.0,"1,05 €",False
52504,2021*04*02,09:21,164309.0,BANETTINE,1.0,"0,60 €",False
52507,2021*04*02,09:22,164310.0,COOKIE,1.0,"1,00 €",False
52510,2021*04*02,09:24,164311.0,PAIN AU CHOCOLAT,4.0,"1,20 €",False
52511,2021*04*02,09:24,164311.0,CROISSANT,4.0,"1,10 €",False
52514,2021*04*02,09:28,164312.0,SPECIAL BREAD,1.0,"2,40 €",False
52515,2021*04*02,09:28,164312.0,TARTELETTE FRAISE,2.0,"3,00 €",False
52518,2021*04*02,09:31,164313.0,DIVERS BOULANGERIE,1.0,"6,00 €",False
52521,2021*04*02,09:31,164314.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52524,2021*04*02,09:34,164315.0,CROISSANT,1.0,"1,10 €",False
52525,2021*04*02,09:34,164315.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52528,2021*04*02,09:35,164316.0,PAIN,1.0,"1,15 €",False
52531,2021*04*02,09:49,164317.0,MOISSON,1.0,"2,00 €",False
52532,2021*04*02,09:49,164317.0,VIK BREAD,1.0,"2,50 €",False
52533,2021*04*02,09:49,164317.0,DIVERS VIENNOISERIE,1.0,"3,00 €",False
52534,2021*04*02,09:49,164317.0,COUPE,2.0,"0,15 €",False
52537,2021*04*02,09:51,164318.0,BAGUETTE,1.0,"0,90 €",False
52540,2021*04*02,09:52,164319.0,COUPE,1.0,"0,15 €",False
52541,2021*04*02,09:52,164319.0,SEIGLE,1.0,"1,80 €",False
52544,2021*04*02,09:54,164320.0,PAIN BANETTE,1.0,"1,40 €",False
52547,2021*04*02,09:56,164321.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52548,2021*04*02,09:56,164321.0,COUPE,1.0,"0,15 €",False
52549,2021*04*02,09:56,164321.0,BOULE 200G,1.0,"1,10 €",False
52552,2021*04*02,09:57,164322.0,BAGUETTE,4.0,"0,90 €",False
52555,2021*04*02,09:59,164323.0,CEREAL BAGUETTE,8.0,"1,25 €",False
52558,2021*04*02,10:01,164324.0,BANETTE,1.0,"1,05 €",False
52561,2021*04*02,10:02,164325.0,COUPE,2.0,"0,15 €",False
52562,2021*04*02,10:02,164325.0,BOULE 200G,2.0,"1,10 €",False
52565,2021*04*02,10:02,164326.0,BANETTE,1.0,"1,05 €",False
52568,2021*04*02,10:04,164327.0,COMPLET,3.0,"1,50 €",False
52569,2021*04*02,10:04,164327.0,COUPE,3.0,"0,15 €",False
52572,2021*04*02,10:06,164328.0,COMPLET,1.0,"1,50 €",False
52573,2021*04*02,10:06,164328.0,GRAND FAR BRETON,1.0,"7,00 €",False
52574,2021*04*02,10:06,164328.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52577,2021*04*02,10:11,164329.0,BANETTE,1.0,"1,05 €",False
52580,2021*04*02,10:11,164330.0,BANETTE,1.0,"1,05 €",False
52581,2021*04*02,10:11,164330.0,FICELLE,2.0,"0,60 €",False
52584,2021*04*02,10:21,164331.0,CROISSANT,1.0,"1,10 €",False
52585,2021*04*02,10:21,164331.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52588,2021*04*02,10:28,164332.0,MILLES FEUILLES,2.0,"2,00 €",False
52589,2021*04*02,10:28,164332.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52590,2021*04*02,10:28,164332.0,DIVERS PATISSERIE,1.0,"5,00 €",False
52591,2021*04*02,10:28,164332.0,COUPE,1.0,"0,15 €",False
52592,2021*04*02,10:28,164332.0,SANDWICH COMPLET,1.0,"4,50 €",False
52593,2021*04*02,10:28,164332.0,ECLAIR,4.0,"2,00 €",False
52594,2021*04*02,10:28,164332.0,FRAISIER,2.0,"3,00 €",False
52595,2021*04*02,10:28,164332.0,COMPLET,1.0,"1,50 €",False
52596,2021*04*02,10:28,164332.0,TARTELETTE,2.0,"2,00 €",False
52599,2021*04*02,10:30,164333.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
52602,2021*04*02,10:31,164334.0,COUPE,1.0,"0,15 €",False
52603,2021*04*02,10:31,164334.0,COMPLET,1.0,"1,50 €",False
52606,2021*04*02,10:31,164335.0,BANETTE,1.0,"1,05 €",False
52609,2021*04*02,10:31,164336.0,BAGUETTE,1.0,"0,90 €",False
52612,2021*04*02,10:32,164337.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52615,2021*04*02,10:33,164338.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52618,2021*04*02,10:33,164339.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52621,2021*04*02,10:34,164340.0,BANETTE,1.0,"1,05 €",False
52624,2021*04*02,10:36,164341.0,FORMULE SANDWICH,2.0,"6,50 €",False
52625,2021*04*02,10:36,164341.0,KOUIGN AMANN,1.0,"2,10 €",False
52628,2021*04*02,10:39,164342.0,COOKIE,6.0,"1,00 €",False
52629,2021*04*02,10:39,164342.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
52630,2021*04*02,10:39,164342.0,COUPE,1.0,"0,15 €",False
52631,2021*04*02,10:39,164342.0,SPECIAL BREAD,1.0,"2,40 €",False
52634,2021*04*02,10:41,164343.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52637,2021*04*02,10:43,164344.0,BAGUETTE,2.0,"0,90 €",False
52640,2021*04*02,10:44,164345.0,BAGUETTE,3.0,"0,90 €",False
52643,2021*04*02,10:45,164346.0,BANETTE,1.0,"1,05 €",False
52646,2021*04*02,10:46,164347.0,TRADITIONAL BAGUETTE,3.0,"1,20 €",False
52649,2021*04*02,10:47,164348.0,BAGUETTE,1.0,"0,90 €",False
52652,2021*04*02,10:51,164349.0,BOULE 400G,2.0,"1,50 €",False
52653,2021*04*02,10:51,164349.0,COUPE,2.0,"0,15 €",False
52654,2021*04*02,10:51,164349.0,ECLAIR,3.0,"2,00 €",False
52657,2021*04*02,10:52,164350.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52660,2021*04*02,10:55,164351.0,MOISSON,2.0,"2,00 €",False
52661,2021*04*02,10:55,164351.0,COUPE,2.0,"0,15 €",False
52664,2021*04*02,10:59,164352.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52667,2021*04*02,11:00,164353.0,BANETTE,2.0,"1,05 €",False
52670,2021*04*02,11:02,164354.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52673,2021*04*02,11:02,164355.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52676,2021*04*02,11:06,164356.0,PAIN BANETTE,1.0,"1,40 €",False
52679,2021*04*02,11:08,164357.0,COUPE,1.0,"0,15 €",False
52680,2021*04*02,11:08,164357.0,VIK BREAD,1.0,"2,50 €",False
52681,2021*04*02,11:08,164357.0,GRAND FAR BRETON,1.0,"7,00 €",False
52682,2021*04*02,11:08,164357.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52685,2021*04*02,11:09,164358.0,BAGUETTE,1.0,"0,90 €",False
52688,2021*04*02,11:09,164359.0,BAGUETTE,1.0,"0,90 €",False
52691,2021*04*02,11:10,164360.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52694,2021*04*02,11:12,164361.0,BANETTE,1.0,"1,05 €",False
52697,2021*04*02,11:13,164362.0,TRADITIONAL BAGUETTE,7.0,"1,20 €",False
52700,2021*04*02,11:14,164363.0,SPECIAL BREAD,1.0,"2,40 €",False
52701,2021*04*02,11:14,164363.0,COUPE,1.0,"0,15 €",False
52704,2021*04*02,11:15,164364.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52707,2021*04*02,11:15,164365.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52710,2021*04*02,11:18,164366.0,DIVERS PATISSERIE,1.0,"5,00 €",False
52711,2021*04*02,11:18,164366.0,BOULE 200G,3.0,"1,10 €",False
52712,2021*04*02,11:18,164366.0,COUPE,3.0,"0,15 €",False
52715,2021*04*02,11:19,164367.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52718,2021*04*02,11:21,164368.0,COUPE,1.0,"0,15 €",False
52719,2021*04*02,11:21,164368.0,CAMPAGNE,1.0,"1,80 €",False
52722,2021*04*02,11:21,164369.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
52725,2021*04*02,11:22,164370.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52726,2021*04*02,11:22,164370.0,VIK BREAD,1.0,"2,50 €",False
52729,2021*04*02,11:24,164371.0,COUPE,2.0,"0,15 €",False
52730,2021*04*02,11:24,164371.0,BOULE 400G,1.0,"1,50 €",False
52731,2021*04*02,11:24,164371.0,COMPLET,1.0,"1,50 €",False
52732,2021*04*02,11:24,164371.0,BAGUETTE,1.0,"0,90 €",False
52735,2021*04*02,11:26,164372.0,MILLES FEUILLES,2.0,"2,00 €",False
52736,2021*04*02,11:26,164372.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52739,2021*04*02,11:34,164373.0,BAGUETTE,5.0,"0,90 €",False
52742,2021*04*02,11:41,164374.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52745,2021*04*02,11:44,164375.0,COUPE,1.0,"0,15 €",False
52746,2021*04*02,11:44,164375.0,PAIN BANETTE,2.0,"1,40 €",False
52747,2021*04*02,11:44,164375.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52748,2021*04*02,11:44,164375.0,DIVERS PATISSERIE,1.0,"5,00 €",False
52749,2021*04*02,11:44,164375.0,TARTELETTE,2.0,"2,00 €",False
52750,2021*04*02,11:44,164375.0,SPECIAL BREAD,1.0,"2,40 €",False
52751,2021*04*02,11:44,164375.0,PAIN,1.0,"1,15 €",False
52754,2021*04*02,11:45,164376.0,COUPE,1.0,"0,15 €",False
52755,2021*04*02,11:45,164376.0,BANETTE,1.0,"1,05 €",False
52756,2021*04*02,11:45,164376.0,VIK BREAD,1.0,"2,50 €",False
52759,2021*04*02,11:46,164377.0,BANETTE,2.0,"1,05 €",False
52760,2021*04*02,11:46,164377.0,DIVERS CONFISERIE,1.0,"3,00 €",False
52763,2021*04*02,11:47,164378.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52766,2021*04*02,11:47,164379.0,BANETTE,2.0,"1,05 €",False
52769,2021*04*02,11:48,164380.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
52772,2021*04*02,11:49,164381.0,PAIN AU CHOCOLAT,2.0,"1,20 €",False
52773,2021*04*02,11:49,164381.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52776,2021*04*02,11:49,164382.0,FICELLE,1.0,"0,60 €",False
52777,2021*04*02,11:49,164382.0,BANETTE,1.0,"1,05 €",False
52778,2021*04*02,11:49,164382.0,DIVERS PATISSERIE,1.0,"2,50 €",False
52781,2021*04*02,11:52,164383.0,TRADITIONAL BAGUETTE,2.0,"1,20 €",False
52784,2021*04*02,11:54,164384.0,BANETTE,4.0,"1,05 €",False
52787,2021*04*02,11:57,164385.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
52790,2021*04*02,11:57,164386.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52793,2021*04*02,11:58,164387.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52796,2021*04*02,11:58,164388.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52799,2021*04*02,11:59,164389.0,SAND JB EMMENTAL,1.0,"3,50 €",False
52802,2021*04*02,11:59,164390.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52803,2021*04*02,11:59,164390.0,FONDANT CHOCOLAT,1.0,"2,50 €",False
52806,2021*04*02,12:01,164391.0,BANETTE,1.0,"1,05 €",False
52807,2021*04*02,12:01,164391.0,TARTELETTE FRAISE,1.0,"3,00 €",False
52810,2021*04*02,12:02,164392.0,BANETTE,2.0,"1,05 €",False
52813,2021*04*02,12:02,164393.0,BANETTE,1.0,"1,05 €",False
52816,2021*04*02,12:05,164394.0,FORMULE SANDWICH,1.0,"6,50 €",False
52819,2021*04*02,12:06,164395.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52822,2021*04*02,12:07,164396.0,FORMULE SANDWICH,1.0,"6,50 €",False
52823,2021*04*02,12:07,164396.0,PAIN BANETTE,1.0,"1,40 €",False
52826,2021*04*02,12:08,164397.0,CEREAL BAGUETTE,1.0,"1,25 €",False
52829,2021*04*02,12:10,164398.0,BANETTE,1.0,"1,05 €",False
52832,2021*04*02,12:11,164399.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52835,2021*04*02,12:12,164400.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52838,2021*04*02,12:12,164401.0,TRADITIONAL BAGUETTE,4.0,"1,20 €",False
52841,2021*04*02,12:12,164402.0,TRADITIONAL BAGUETTE,1.0,"1,20 €",False
52844,2021*04*02,12:13,164403.0,BANETTE,1.0,"1,05 €",False
